ID,Sender,Reciever,From,To,Keywords ,Date
23,Sir James Stewart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Presbyterians, King's interest, Tarbat, Ireland","May 24, 1689"
24,Sir James Stewart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","God, King, mistakes","May 24, 1689"
25,Duke of Hamilton ,King William ,"55.952499, -3.172500","51.403332, -0.337500","Privy Council, Estates, Parliament, divisions","May 25, 1689"
26,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Dundee, Mackay, regiments, mistakes","May 25, 1689"
27,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Estates ajourned, King's service","May 27, 1689"
28,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","state of the country, debate, strife, two Dukes","May 27, 1689"
29,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","public interest, God, friendship, ","May 28, 1689"
30,Duke Hamilton ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","magazines, powder, arms","May 30, 1689"
31,Sir George Mackenzie ,Lord Melville ,54.0091 -1.46851,"51.50673486004276, -0.12083646321188168","Parliament, bigotry, Tarbat, Scotland, King","May 31, 1689"
32,Lord Melville,Earl of Crawford,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","honor, interest of the nation","May 31, 1689"
33,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","securing the nation, Tarbat, Mackay","June 1, 1689"
34,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","friendship, honesty","June 1, 1689"
35,Viscount Tarbat,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","enemies, ecclesiastics, Scotland, Highlanders ",1 Jun 1689
36,Viscount Tarbat,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","Mackay, Highlanders, Scotland, security, invasion, rebellion, Montrose",1 Jun 1689
37,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","nominations, council, commissioners, Dundee, Mackay","June 4, 1689"
38,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","grateful, appointment","June 4, 1689"
39,John Hay of Park ,Lord Melville ,,"51.50673486004276, -0.12083646321188168","Tarbat, military affairs, oppressions","June 4, 1689"
40,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King's favor, friendship","June 6, 1689"
41,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Estates, Parliament","June 6, 1689"
42,The Lady Auchinbreck ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","husband, condition, mercy, Argyll","June 6, 1689"
43,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","estates, Scotland, Claim of Right, defence of his actions","June 7, 1689"
44,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Schomberg, Mackay, war, King's service",8 June 1689
45,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Mackay, Ireland, intelligence, French fleet, Dundee","June 8, 1689"
46,Marquis of Atholl ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","health, service, Scotland","June 8, 1689"
47,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","safety, Parliament, issues",June 11. 1689
48,Lord James Murray ,Lord Dundee,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Dundee, brother, prison","June 11, 1689"
49,Mr. David Nairn ,Earl of Leven ,"55.948889, -3.190556","55.948889, -3.190556","officiating, King's favor","June 11, 1689"
50,Lord Melville,Sir Patrick Hume of Polwarth ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556",Thanks him for candor,"June 13, 1689"
51,Lord Melville,Colonel Balfour ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Edinburgh Castle, Mackay, intelligence","June 13, 1689"
52,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Mackay, Edinburgh Castle","June 14, 1689"
53,Lord Melville,Marquis of Atholl ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Hamilton, King William, service","June 14, 1689"
54,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Parliament, allegiance, service, Great Seal, navy, portmaster","June 18, 1689"
55,Lord Eglinton ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","honor, regiments, station","June 18, 1689"
56,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Parliament, Articles, debate, Lord Stair","June 18, 1689"
57,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Articles, Club, King's prerogative","June 18, 1689"
58,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Mackay, Ireland, France","June 18, 1689"
59,Mr. David Nairn ,Earl of Leven ,"55.948889, -3.190556","55.948612, -3.200833","castle, parliament, judges","June 18, 1689"
60,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","articles, allegiance, attendance, Club","June 20, 1689"
61,Lord Belhaven ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","North, Holland, Protestant religion","June 20, 1689"
62,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Great Seall, King's prerogative, Skelmorlie","June 20, 1689"
63,Andrew Kennedy of Cloburne ,William Denham ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Articles, officers of state, King's prerogative","June 22, 1689"
64,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Kirk and Rooke, Londonderry, service","June 23, 1689"
65,Lady Polwarth ,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","service, interest, Lady Hilton","June 24, 1689"
66,Lady Polwarth ,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168",Lady Hilton,"June 24, 1689"
67,John Hay of Park ,Lord Melville ,"56.462002, -2.970700","51.50673486004276, -0.12083646321188168",advice on appoinments,"June 24, 1689"
68,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","warfare, affairs of parliament","June 25, 1689"
69,Marquis of Lothian,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King's service, ""present danger""","June 25, 1689"
70,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton's displeasure, parliament, commissions","June 25, 1689"
71,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","articles, Scotland, Club, Hamilton's rage, Presbyterians","June 25, 1689"
72,"John Anderson of Dowhill, Robert Spruell",Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Glasgow, public safety, elections","June 25, 1689"
73,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168",his brother,"June 26, 1689"
74,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","grievances, church government, Secretary of War","June 26, 1689"
75,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","articles, parliament, church affairs","June 27, 1689"
75,Marquis of Atholl ,Lord Melville ,"51.380001, -2.360000","51.50673486004276, -0.12083646321188168","service, false stories, Protestant religion","June 27, 1689"
76,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","animosity, parliament, presbytery, Presbyterian church, crown","June 27, 1689"
77,The Earl of Balcarres ,Lord Melville ,"56.249999, -3.1999992","51.50673486004276, -0.12083646321188168","imprisonment, Dundee","June 27, 1689"
78,Lord Ross,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","crown, John Dalrymple","June 27, 1689"
79,Lord Ross,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","articles, Dalrymple, King James","June 27, 1689"
80,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Tarbat, offices of state, Lord Stair, positions","June 27, 1689"
81,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, revolution settlement, King's prerogative","June 28, 1689"
82,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168",proposals,"June 29, 1689"
83,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","L. Perth, popery","June 29, 1689"
84,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, King, reformers","June 29, 1689"
85,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Dalrymple","June 29, 1689"
86,Sir George Mackenzie ,Lord Melville ,"54.0091, -1.46851","51.50673486004276, -0.12083646321188168","articles, loyalty, protection","June 29, 1689"
87,Sir John Baird of Newbyth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","greivances, circumstances","June 29, 1689"
88,Viscount of Tarbat  ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","church, government","June-July, 1689 "
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","clerks, hornings",June-July 1689 
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168",testimony,June-July 1689 
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","King, Hamilton, club",June-July 1689 
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","incapacity, parliament, K. James, castles",June- July 1689
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168",presbytery,"June-July, 1689 "
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","articles, bishops, parliament, chancellor",June-July 1689 
88,Viscount of Tarbat ,Lord Melville ,"57.7354, -4.0677","51.50673486004276, -0.12083646321188168","Scotland, money, coins, customs, trade",June-July 1689 
89,Tarbat's memorial in relation to the Church ,,"57.7354, -4.0677",,"presbyterians, parliament, ministers, presbyterian government, general assembly","June, 1689"
90,Lord Melville,Earl Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556",friendship,June 1689
91,Sir George Mackenzie ,Lord Melville,"54.0091, -1.46851","51.50673486004276, -0.12083646321188168","circumstances, diapleasure",June 1689
92,Sir George Mackenzie ,Mr. James Melville ,"54.0091, -1.46851",,"forfeitures, King's authority",June 1689
93,Mr. Gilbert Eliot ,Lord Melville,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, Dundee, allegiance",June 1689
94,Memorial to Lord Melville ,,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","debts, guards, revenue",June 1689
95,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","articles, letters, church government, Dundee, Mackay, Inverlochie","July 2, 1689"
96,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","prisoners, Edinburgh castle, Dundee, Irish, Mackay","July 2, 1689"
97,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church gobernment, presbytery, patronage","July 2, 1689"
98,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, public trust","July 2, 1689"
99,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, council, presbytery, church government","July 2, 1689"
100,Earl of Englintoun ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","regiments, Dundee, Leven, highlands","July 4, 1689"
101,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, church government, Aberdeen, K. James","July 4, 1689"
102,Margaret Countess of Balcarres,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Dundee, Blair, Council, imprisonment, Edinburgh Castle","July 4, 1689"
103,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Londonderry, Kirk, Edinburgh Castle, Balcarres, K. James, Berwick, Dundee, provost, Gordon","July 4, 1689"
104,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","parliament, royal ascent, articles, Glasgow, Dundee, Mackay, Lochaber, Inverlochie","July 6, 1689"
105,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, officers of state, presbytery","July 6, 1689"
106,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, articles, parliament","July 6, 1689"
107,Lord Blantyre ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","regiment, Dalrymple","July 6, 1689"
108,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, Club, Hamilton, Ireland, Mackay, highlands, prisoners","July 7, 1689"
109,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","articles, church government, parliament, Irishmen, prisoners, council","July 9, 1689"
110,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","dragoons, Mackay, Dundee, Skelmorlie, Hamilton, affairs, parliament","July 9, 1689"
111,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Ross, Skelmorlie, Advocate, Stair, Melville, Annandale","July 9, 1689"
112,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Argyll, Annandale, parliament, Club, Inverlochie","July 10, 1689"
113,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","church government, parliament, forfeitures","July 11, 1689"
114,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Morton, petition","July 11, 1689"
115,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, parliament, articles, army, obstructions","July 11, 1689"
116,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Club, forces, King William, Ireland, France, fleet","July 11, 1689"
117,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Kirkconnell, excise, customs","July 11, 1689"
118,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","prisoners, council, Tarras, Leven","July 11, 1689"
119,Sir James Steuart ,William Denham of Westshield ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, committees, church government, claim of right, Hamilton, irish prisoners, plot","July 11, 1689"
120,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, parliament, Club, forces, regiments","July 12, 1689"
121,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, coronation oath, Portland, Club","July 12, 1689"
122,Sir James Steuart ,William Denham of Westshield ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, Dalrymple, claim of right, grievances, forfeitures, parliament, Scotland, Kintyre, Irish","July 13, 1689"
123,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","french ships, coast, Mackay, Ireland, Dalrymple, parliament","July 13, 1689"
124,Sir Thomas Stewart of Coltness,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Holland, Mint","July 14, 1689"
125,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Lady Drum, parliament, church government, council","July 16, 1689"
126,Lord Murray ,Sir William Anstruther ,56.249999 -3.1999992,56.22315 -2.70229,"devastation, property, highkands, Atholl's men ",17 July 1689
127,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","church government, Dalrymple, Dundee, Mackay, Stirling Castle, declaration of war","July 18, 1689"
128,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, church government, rebellion, Mackay, militia","July 18, 1689"
129,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Selkirk, Schomberg, Ireland","July 19, 1689"
130,Captain Johnston and Officers ,Lord Melville ,"51.5094129623, -0.10115126206","51.50673486004276, -0.12083646321188168","sickness, concern, imprisonment","July 19, 1689"
131,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Dalymple, church government, Signet, council, Mackay, K. James, Ireland, landings","July 20, 1689"
132,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church, parliament, Hamilton, Mackay, Club, invasion, Ireland, conspiracy","July 20, 1689"
133,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, council, religion, Skelmorlie, parliament, Mackay","July 22,1689"
134,Countess of Mar,Queen Mary,"56.116600, -3.936900","51.403332, -0.337500","Scotland, Stirling Castle","July 22, 1689"
135,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","parliament, Rooke, Dundee, prisoners","July 23, 1689"
136,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, presbytery, church, Dundee, postmaster","July 23, 1689"
137,Sir James Montgomery ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","vote, Signet, parliament, Dalrymple, friendship","July 23, 1689"
138,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","court, committees, articles, parliament, Gordon, K. James, Hamilton, Ayr, Clydesdale, Dundee, Irish landings, Mackay, Bass","July 24, 1689"
139,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","parliament, highlands, inverlochie, garrison, church government, Rooke, french ships, Lochaber, Mull, Breadalbane","July 25, 1689"
140,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, parliament, dragoons, mackay, Provinciall, Blair","July 25, 1689"
141,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, mackay, Hamilton, ""mischeif"", Belhaven","July 25, 1689"
142,John Hay of Park ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Church, Advocate, parliament","July 26, 1689"
143,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, parliament, council, Buchan, Stirling Castle, Perth, France, Ireland","July 27, 1689"
144,Sir William Lockhart ,Lord Melville ,"55.971829446, -3.408831698","51.50673486004276, -0.12083646321188168","Club, Mackay, articles","July 27, 1689"
145,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Mackay, Atholl, Dundee, Killiecrankie, security, Berwick","July 28, 1689"
146,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Killiecrankie, Dundee","July 28, 1689"
147,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Killiecrankie, Dundee, Stirling","July 28, 1689"
148,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Killiecrankie, Mackay, highlanders, Stirling, Perthshire, Carlisle, Stilring, Schomberg","July 29, 1689"
149,Sir WIlliam Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Killiecrankie, dutch dragoons, Lauder, Dundee, Mackay, Leven","July 29, 1689"
150,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Killiecrankie, Mackay, great loss","July 29, 1689"
151,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Mackay, Dundee, Stirling, Canon, Angus","July 30, 1689"
152,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, Mackay, Drummond Castle, Murray","July 30, 1689"
153,Lord Melville,Earl of Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","parliament, church government, divisions","July 30, 1689"
154,Lord Melville,Sir James Montgomery ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","parliament, Dalrymple, evil politick","July 30, 1689"
155,John Hay of Park  ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, intelligence, Cessnock","July 30, 1689"
156,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Mackay, Leven, Stirling, Dundee, Club, grievances, Claim of Right, Doge of Venice, Scrimziemor","July 30, 1689"
157,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Balfour, Killiecrankie, Dundee, intelligence, Mackay, Skelmorlie, Club, articles, campaign","July 30, 1689"
158,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, Signet, parliament, dragoons, Dinwoodie",July 1689
159,King William,The Council in relation to Ministers ,"51.403332, -0.337500","55.948889, -3.190556","church government, Parliament, General Assembly",July 1689
160,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Derry, Kirk, Castle Kilmoor, Ireland, coast, frigates, Dundee, Highlanders, Mackay, Presbyterian Ministers, Test Act","August 1, 1689"
161,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Presbyterian ministers, claim of right, church government, K. James, Dundee, King William","August 1, 1689"
162,Lord Murray ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Dundee, letters, Atholl, Castle of Blair, K. James, Killiecrankie, Highlanders, ","August 1, 1689"
162,Viscount Dundee,Lord Murray,"55.98515, -4.89817","56.704, -3.794","K. James, regiments, Holland, Atholl, Melfort, Dutch, French, fleet, Schomberg, Ireland","July 19, 1689"
162,Viscount Dundee,Lord Murray,"55.98515, -4.89817","56.704, -3.794","French fleet, Castle Blair, Dublin, Mackay","July 23, 1689"
162,Viscount Dundee,Lord Murray,"55.98515,-4.89817","56.704, -3.794","Mackay, Tay, allegiance","July 25, 1689"
163,Duke of Hamilton ,King William ,"55.952499, -3.172500","51.403332, -0.337500","parliament, army, Dundee, Highlanders, frigates, Ireland, coasts, Mackay, Council","August 2, 1689"
164,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Dundee, K. James, Highlands, Mackay, Argyll, Club, church governemnt, Skelmorlie","August 2, 1689"
165,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","army pay, Mackay, intelligence, prisoners","August 2, 1689"
166,Officers of Dumbarton's Regiment ,Lord Melville ,"52.2474, 0.7183","51.50673486004276, -0.12083646321188168","treason, war, trial, guilty, petition, mercy","August 2, 1689"
167,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Forfar, Mackay, Council","August 3, 1689"
