Node Type,Name,Description,Image,Reference,Location,Skills
Person,Hill ,Governor of Fort William,,,,
Person,Ranelagh,English Privy Councillor,,,,
Person,Breadalbane,"Commissioner, Jacobite negotiator",,,,
Person,Raith,Melville's third son,,,,
Person,Nottingham,Secretary of State for England,,,,
Person,George Stirling ,Paliamentary commissioner,,,,
Person,Carstares,William's advisor and chaplain,,,,
Person,Billingsley,Deputy Governor of Berwick,,,,
Person,Master of Forbes,Privy Councillor,,,,
Person,Monsieur D'Allone,Principal Secretary and Master of Requests for the Queen,,,,
Person,Pottinger,Navy Admiral,,,,
Person,Gabriel Cunningham,Minister,,,,
Person,William Dunlop,Minister,,,,
Organization,Judges of the Court of Session,Judiciary,,,,
Organization,Commissioners of Supply of Lanarkshire,Supply,,,,
Person,Pittarro,,,,,
Person,Alexander Johnston,,,,,
Person,Countess of Seaforth,Seaforth's wife,,,,
Person,James Melville ,Melville's fourth son,,,,
Person,Drumlanrig,Lord of the Exchequer,,,,
Organization,Town Council of Edinburgh,Town Council,,,,
Person,Hugh Kennedy ,Minister,,,,
Person,James Kirkton ,Minister,,,,
Person,Gilbert Rule ,Minister,,,,
Person,Fraser of Brae ,Minister,,,,
Person,David Williamson ,Minister,,,,
Person,Duchess of Queensberry,Queensberry's wife,,,,
Person,Thomas Livingston,Williamite General,,,,
Person,Duchess of Hamilton,Hamilton's wife,,,,
Organization,Lords of the Treasury,Treasury,,,,
Person,Colonel Arrott,Military General,,,,
