From Type,From Name,Edge Type,To Type,To Name,Weight
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Anstruther,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Campbell of Auchenbreck,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Stevenston,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Melville,Account,Group,Presbyterian Ministers,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,King James,Intercepted Letter,Person,Laird of McNaughten,1
Person,King James,Intercepted Letter,Person,Colonel Cannon,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Leven,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,King William,Wrote Letter to,Organization,Scottish Parliament,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Shrewsbury,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Elliot,Letter Packet,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Unknown,1
Person,Fountainhall,Wrote Letter to,Person,Melville,1
Person,Neil Campbell,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,Portland,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Polwarth,Memorandum,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,King William,1
Person,Argyll,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Lothian,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Cassillis,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,King William,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,Shrewsbury,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,James Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Lothian,Wrote Letter to,Person,King William,1
Person,Lothian,Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,Melville,1
Group,"Polwarth, Forbes",Wrote Letter to,Person,King William,1
Group,"Polwarth, Forbes",Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Group,"Polwarth, Forbes",Wrote Letter to,Person,King William,1
Group,"Polwarth, Forbes",Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Letter Packet,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,King William,Insrtuctions,Person,Melville,1
Organization,Burrough of Belfast,Recommendation,Person,Hill,1
Person,King William,Instructions,Person,Melville,1
Person,King William,Instructions,Person,Melville,1
Person,Melville,Wrote Letter to,Person,King William,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,King William,Wrote Letter to,Organization,Privy Council,1
Person,King William,Warrant,Person,Viscount Tarbat,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,Schomberg,Wrote Letter to,Person,Leven,1
Person,King William,Order,Person,Melville,1
Person,Hill,Wrote Letter to,Person,Leven,1
Person,Ranelagh,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,Melville,Order,Person,Breadalbane,1
Person,Lockhart,Wrote Letter to,Person,Raith,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,King William,Instructions,Person,Melville,1
Person,David Nairne,Wrote Letter to,Person,Leven,1
Person,King William,Approbation,Person,Melville,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,King William,Remarks,Person,Melville,1
Person,King William,Instructions,Person,Melville,1
Person,King William,Instructions,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,King William,1
Person,King William,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,David Nairne,Wrote Letter to,Person,Melville,1
Person,David Nairne,Wrote Letter to,Person,Leven,1
Person,Atholl,Wrote Letter to,Person,Mackay,1
Person,Atholl,Wrote Letter to,Person,Melville,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Ross,Wrote Letter to,Person,George Stirling,1
Person,Ross,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Carstares,Wrote Letter to,Person,Unknown,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Billingsley,Wrote Letter to,Person,Melville,1
Person,Master of Forbes,Wrote Letter to,Person,Melville,1
Person,Queen Mary,Examination Articles,Person,Unknown,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Billingsley,Wrote Letter to,Person,Melville,1
Person,Queen Mary,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,King William,1
Person,Carstares,Wrote Letter to,Person,Monsieur D'Allone,1
Person,Melville,Wrote Letter to,Person,Monsieur D'Allone,1
Person,Hill,Wrote Letter to,Person,Melville,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Carstares,Wrote Letter to,Person,Monsieur D'Allone,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Pottinger,Wrote Letter to,Person,Melville,1
Person,Billingsley,Wrote Letter to,Person,Melville,1
Person,Pottinger,Wrote Letter to,Person,Mackay,1
Person,Billingsley,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Lockhart,Wrote Letter to,Person,Leven,1
Person,Hill,Wrote Letter to,Person,Melville,1
Group,"Gabriel Cunningham, Carstares, William Dunlop",Attestation,Person,Skelmorlie,1
Person,Melville,Wrote Letter to,Person,Skelmorlie,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Queen Mary,Narrative,Person,Ross,1
Organization,Judges of the Court of Session,Wrote Letter to,Person,King William,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Organization,Commissioners of Supply of Lanarkshire,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Queen Mary,1
Person,Pittarro,Wrote Letter to,Person,Melville,1
Person,Kintore,Wrote Letter to,Person,Melville,1
Person,Annandale,Wrote Letter to,Person,Melville,1
Person,Hill,Wrote Letter to,Person,Leven,1
Person,Alexander Johnston,Wrote Letter to,Person,Melville,1
Person,Atholl,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Countess of Seaforth,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Queen Mary,Conditions,Person,Annandale,1
Person,Lockhart,Account,Person,Queen Mary,1
Person,Annandale,Account,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,James Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Melville,Declaration,Person,Unknown,1
Person,Unknown,Queries,Person,Unknown,1
Person,King William,Order,Person,Melville,1
Person,Kintore,Wrote Letter to,Person,Melville,1
Person,Queen Mary,Narrative,Person,Unknown,1
Person,Drumlanrig,Wrote Letter to,Person,Leven,1
Person,Nottingham,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Group,Melville and Privy Council,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Drumlanrig,Wrote Letter to,Person,Melville,1
Person,Breadalbane,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,King William,1
Person,Hill,Wrote Letter to,Person,Leven,1
Person,Portland,Wrote Letter to,Person,Melville,1
Group,Presbyterian Ministers,Wrote Letter to,Person,King William,1
Group,Presbyterian Ministers,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hill,Wrote Letter to,Person,Melville,1
Organization,Town Council of Edinburgh,Wrote Letter to,Person,Melville,1
Person,Ross,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Melville,Wrote Letter to,Person,Carmichael,1
Person,Melville,Wrote Letter to,Person,Hugh Kennedy,1
Person,Melville,Wrote Letter to,Person,James Kirkton,1
Person,Melville,Wrote Letter to,Person,Gilbert Rule,1
Person,Melville,Wrote Letter to,Person,Fraser of Brae,1
Person,Melville,Wrote Letter to,Person,David Williamson,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Kintore,Wrote Letter to,Person,King William,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Gabriel Cunningham,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Organization,Church of Scotland,Wrote Letter to,Person,King William,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Carmichael,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
