From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Alexander McDowall,WROTE LETTER TO,Person,Dunfermline,"1689, Dec 18",,GD26/8/63
Person,Robert Stewart,WROTE LETTER TO,Person,Dunfermline,"1689, Dec 21",,GD26/8/64
Person,Jane Wallace,Information,Person,Mayor of Carlisle,"1689, Dec 26",,GD26/8/65
Person,John Farquarson,WROTE LETTER TO,Person,Canon,"1689, Dec 29",,GD26/8/66
Person,John McNaughton,Warrant,Place,Duart Castle,"1689, Dec 31",,GD26/8/67
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,"1689, Dec",,GD26/8/68
Person,D. McDonald,WROTE LETTER TO,Person,Canon,"1689, Dec",,GD26/8/69
Person,Unknown,Eulogy,Group,Jacobites,c. 1689,,GD26/8/70
Group,Highland Clans,Military Report,Person,Unknown,c. 1689,,GD26/8/71
Person,Unknown,WROTE LETTER TO,Person,Dunfermline,c. 1689,,GD26/8/72
Person,Thomas Dunbar,WROTE LETTER TO,Person,Lt. Col. Wilson,c. 1689,2,GD26/8/73
Group,Cap. McAdam; two officers,Report,Person,Unknown,c. 1689,,GD26/8/74
Person,James Winchester,WROTE LETTER TO,Person,Dunfermline,c. 1689,,GD26/8/75
Person,William Riach,Information,Person,Melville,c. 1689,,GD26/8/76
Person,Unknown,Information,Person,Melville,c. 1689,,GD26/8/77
Person,Ewan Cameron,WROTE LETTER TO,Person,Canon,"1690, Jan 18",,GD26/8/78
Person,John Farquarson,WROTE LETTER TO,Person,Canon,"1690, Jan 26",,GD26/8/79
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,"1690, Jan 26",,GD26/8/80
Person,Alexander McLean,WROTE LETTER TO,Person,Canon,"1690, Jan 28",,GD26/8/81
Person,Alexander McDonald,WROTE LETTER TO,Person,Glengarry,"1690, Feb 1",,GD26/8/82
Person,Buchan,WROTE LETTER TO,Person,Canon,"1690, Feb 3",,GD26/8/83
Person,John Boyd,Deposition,Person,Skelmorlie,"1690, Feb 5",,GD26/8/84
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,"1690, Feb 27",,GD26/8/85
Person,A. McDougall,WROTE LETTER TO,Person,Laird McNaughton,"1690, Mar 2",,GD26/8/86
Person,Patrick Logan,WROTE LETTER TO,Person,Buchan,"1690, Mar 5",,GD26/8/87
Person,McNaughton,WROTE LETTER TO,Person,Canon,"1690, Mar 8",,GD26/8/88
Person,Allan McDonald,WROTE LETTER TO,Person,Canon,"1690, Mar 8",,GD26/8/89
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Mar 18",,GD26/8/90
Person,King James,Commission,Organization,Parliament,"1690, Mar",,GD26/8/91
Person,King James,Plan for Invasion,Group,Jacobites,"1690, Mar",,GD26/8/91
Person,William McKay,WROTE LETTER TO,Person,Thomas Livingston,c. 1690,2,GD26/8/92
Person,John Buchan,WROTE LETTER TO,Person,Unknown,"1690, Apr 7",,GD26/8/93
Person,King James,Instructions,Organization,Parliament,"1690, Apr 13",2,GD26/8/93a
Person,Unknown,WROTE LETTER TO,Person,Melville,"1690, May 30",,GD26/8/94
Person,Jameson,WROTE LETTER TO,Person,Thomas Davidson,"1690, Jun 29",,GD26/8/95
Person,Alexander McDowall,WROTE LETTER TO,Person,Aeneas Macpherson,"1690, Jul 18",,GD26/8/96
Person,John Grierson,WROTE LETTER TO,Person,Melville,"1690, Aug 6",,GD26/8/97
Person,James Graham,Passes,Group ,Bellenden,"1690, Sep 2",,GD26/8/98
Person,Buchan,WROTE LETTER TO,Person,Hamilton,"1690, Sep 18",,GD26/8/99
Person,Melville,List of prisoners,Organization,Parliament,"1690, Dec 3",,GD26/8/100
Person,J. Ribault,WROTE LETTER TO,Person,Melville,"1690, Dec 9",,GD26/8/101
Person,John Stewart,Information,Person,Laird McNaughton,c. 1690,,GD26/8/102
Person,Isobel McNaughton,WROTE LETTER TO,Person,McNaughton,c. 1690,,GD26/8/103
Person,I. Campbell,WROTE LETTER TO,Person,Laird McNaughton,c. 1690,5,GD26/8/104
Person,A. Kennedy,WROTE LETTER TO,Person,Canon,c. 1690,,GD26/8/105
Person,James Winchester,WROTE LETTER TO,Person,Dunfermline,c. 1690,,GD26/8/106
Person,Alexander Canon,WROTE LETTER TO,Person,Laird McNaughton,c. 1690,,GD26/8/107
Person,Alexander Canon,WROTE LETTER TO,Person,Laird McNaughton,c. 1690,,GD26/8/108
Person,McLean of Duart,WROTE LETTER TO,Person,Canon,c. 1690,,GD26/8/109
Person,McLean of Duart,WROTE LETTER TO,Person,James McLean,c. 1690,,GD26/8/110
Person,Unknown,WROTE LETTER TO,Person,Unknown,c. 1690,,GD26/8/111
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,c. 1690,,GD26/8/112
Person,Unknown,Letters,Person,Unknown,c. 1690,4,GD26/8/113
Group,John Chapel; John Price; Richard Morris,Discovery,Person,Melville,c. 1690,,GD26/8/114
Group,Highland Chieftains,Declaration,Person,Parliament,c. 1690,,GD26/8/115
Person,Gordon,Declaration,Person,Regent of College of Glasgow,c. 1690,,GD26/8/116
Person,Canon,WROTE LETTER TO,Person,Melfort,c. 1690,,GD26/8/117
Person,Balcarres,Discourse,Person,King James ,c. 1690,,GD26/8/118
Group,John Price; Richard Morris,Report,Person,Melville,c. 1690,,GD26/8/119
Person,Buchan,WROTE LETTER TO,Person,Canon,c. 1690,,GD26/8/120
Person,John Chapel,Information,Person,Melville,"1691, Feb",,GD26/8/121
Person,John Mackie,WROTE LETTER TO,Person,Melville,1690-1691,24,GD26/8/122
Person,Unknown,Papers,Person,Melville,1690-1703,9,GD26/8/123
Person,Jacobite Agent,WROTE LETTER TO,Person,Jacobite Agent,"1691, Jan 17",2,GD26/8/124
Person,Unknown,WROTE LETTER TO,Person,John Drummond,"1691, Apr 14",,GD26/8/125
Person,Melfort,WROTE LETTER TO,Person,Cap. Cole,"1691, Aug 12",,GD26/8/126
Person,Unknown,WROTE LETTER TO,Person,Melville,"1691, Aug 30",,GD26/8/127
Group,Shires of Perth; Stirling; Dumbarton,Account ,Person,Melville,1691,,GD26/8/128
Person,Buchan,Agreement,Person,Breadalbane,1691,,GD26/8/129
Person,A. Gordon,WROTE LETTER TO,Person,Aeneas Macpherson,"1692, Jan 6",,GD26/8/130
Person,Melfort,Copy Letter,Person,Unknown,1692,,GD26/8/131
