ID,SENDER,RECEIVER,FROM,LAT_LON_1,TO,LAT_LON_2,KEYWORDS 1,KEYWORDS 2,KEYWORDS 3,KEYWORDS 4,KEYWORDS 5,KEYWORDS 6,DATE,TYPE
12,Viscount Dundee,Lord Murray (uncertain),Keeth,"57.53633, -2.94811",-,,Major Graham,,,,,,4/21/1689,"Letter"
13,Sir James Dalrymple of Stair,Lord Melville,Hampton Court,"51.403332, -0.337500",London,"51.50673486004276, -0.12083646321188168",Portland,Mackay,royal proclamation,,,,4/21/1689,"Letter"
14,King William,Lord Melville,Hampton Court,"51.403332, -0.337500",London,"51.50673486004276, -0.12083646321188168",Scotland,Convention,Highlanders,Mackay,Ireland,,4/25/1689,"Royal Exoneration"
15,Earl of Portland,General Mackay (Uncertain),Whitehall,"51.504444, -0.125556",-,,Scotland,Argyll,Londonderry,Ireland,,,Unknown (between April 25-30),"Letter"
16,Duke of Hamilton,King William,Edinburgh,,Hampton Court,"51.403332, -0.337500",Estates,Parliament,peace,,,,4/30/1689,"Letter"
17,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",secretary,Portsmouth,Convention,Scotland,informer,,5/15/1689,"Letter"
18,Earl of Mar,Lord Melville,Alloa,"56.11586, -3.78997",London,"51.50673486004276, -0.12083646321188168",service,interest,Portland,Kin,Court,,5/18/1689,"Letter"
19,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Perth,Ireland,Scotland,Dundee,Mackay,,5/20/1689,"Letter"
20,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Privy Council,Great Seal,Parliament,,,,5/21/1689,"Letter"
21,Marquis of Atholl,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",distracted kingdom,solicit,friendship,,,,5/21/1689,"Letter"
22,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",public interest,friendship,honor,,,,5/23/1689,"Opinion"
23,Sir James Stewart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Presbyterians,King's interest,Tarbat,Ireland,,,5/24/1689,"Letter"
24,Sir James Stewart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",God,King,mistakes,friendship,,,5/24/1689,"Letter"
25,Duke of Hamilton,King William,Holyrood House,"55.952499, -3.172500",Hampton Court,"51.403332, -0.337500",Privy Council,Estates,Parliament,divisions,,,5/25/1689,"Letter"
26,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Dundee,Mackay,regiments,mistakes,,,5/25/1689,"Letter"
27,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",Estates ajourned,King's service,,,,,5/27/1689,"Letter"
28,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",country,debate,strife,Dukes,,,5/27/1689,"Letter"
29,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",public interest,God,friendship,,,,5/28/1689,"Letter"
30,Duke Hamilton,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",magazines,powder,arms,,,,5/30/1689,"Letter"
31,Sir George Mackenzie,Lord Melville,Knaresborough,54.0091 -1.46851,London,"51.50673486004276, -0.12083646321188168",Parliament,bigotry,Tarbat,Scotland,King,,5/31/1689,"Letter"
32,Lord Melville,Earl of Crawford,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",honor,interest,nation,,,,5/31/1689,"Letter"
33,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",securing the nation,Tarbat,Mackay,,,,6/1/1689,"Letter"
34,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",friendship,reputation,honesty,God,,,6/1/1689,"Letter"
35,Viscount Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",enemies,ecclesiastics,Scotland,Highlanders,,,6/1/1689,"Letter"
36,Viscount Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",Mackay,Highlanders,Scotland,security,invasion,rebellion,6/1/1689,"Letter"
37,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",nominations,council,commissioners,Dundee,Mackay,,6/4/1689,"Letter"
38,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",weakness,grateful,appointment,,,,6/4/1689,"Letter"
39,John Hay of Park,Lord Melville,-,,London,"51.50673486004276, -0.12083646321188168",Tarbat,military affairs,oppressions,,,,6/4/1689,"Letter"
40,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Lockhart,favor,friendship,security,,,6/6/1689,"Letter"
41,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Great Seall,Estates,Parliament,,,,6/6/1689,"Letter"
42,The Lady Auchinbreck,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",husband,condition,mercy,Argyll,,,6/6/1689,"Letter"
43,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",estates,Scotland,Claim of Right,,,,6/7/1689,"Letter"
44,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",Schomberg,Mackay,war,King,service,,6/8/1689,"Letter"
45,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Mackay,Ireland,intelligence,French fleet,Dundee,,6/8/1689,"Letter"
46,Marquis of Atholl,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",health,service,Scotland,,,,6/8/1689,"Letter"
47,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",safety,Parliament,issues,,,,6/11/1689,"Letter"
48,Lord James Murray,Lord Dundee,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Dundee,brother,prison,,,,6/11/1689,"Letter"
49,Mr. David Nairn,Earl of Leven,Edinburgh,"55.948889, -3.190556",Edinburgh,"55.948889, -3.190556",officiating,King,favor,,,,6/11/1689,"Letter"
50,Lord Melville,Sir Patrick Hume of Polwarth,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",friendship,truth,public,trust,,,6/13/1689,"Letter"
51,Lord Melville,Colonel Balfour,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",Edinburgh Castle,Mackay,intelligence,,,,6/13/1689,"Letter"
52,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Mackay,Edinburgh Castle,Gordon,parliament,,,6/14/1689,"Letter"
53,Lord Melville,Marquis of Atholl,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",Hamilton,King William,service,,,,6/14/1689,"Letter"
54,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Parliament,allegiance,service,Great Seal,navy,portmaster,6/18/1689,"Letter"
55,Lord Eglinton,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",honor,regiments,station,,,,6/18/1689,"Letter"
56,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Parliament,Articles,debate,Lord Stair,,,6/18/1689,"Letter"
57,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Articles,Club,King,prerogative,,,6/18/1689,"Letter"
58,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",Mackay,Ireland,France,,,,6/18/1689,"Letter"
59,Mr. David Nairn,Earl of Leven,Edinburgh,"55.948889, -3.190556",Edinburgh Castle,"55.948612, -3.200833",castle,parliament,judges,,,,6/18/1689,"Letter"
60,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",articles,allegiance,attendance,Club,,,6/20/1689,"Letter"
61,Lord Belhaven,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",North,Holland,Protestant religion,,,,6/20/1689,"Letter"
62,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Great Seall,King,prerogative,Skelmorlie,,,6/20/1689,"Letter"
63,Andrew Kennedy of Cloburne,William Denham,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Articles,officers,state,King,prerogative,,6/22/1689,"Letter"
64,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Kirke,Rooke,Londonderry,service,,,6/23/1689,"Letter"
65,Lady Polwarth,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",service,interest,Lady Hilton,,,,6/24/1689,"Letter"
66,Lady Polwarth,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",Lady Hilton,children,beggars,,,,6/24/1689,"Letter"
67,John Hay of Park,Lord Melville,Dundee,"56.462002, -2.970700",London,"51.50673486004276, -0.12083646321188168",trouble,enemies,honor,,,,6/24/1689,"Letter"
68,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",warfare,affairs,parliament,,,,6/25/1689,"Letter"
69,Marquis of Lothian,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",King,service,present,danger,,,6/25/1689,"Letter"
70,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Hamilton,displeasure,parliament,commissions,,,6/25/1689,"Letter"
71,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",articles,Scotland,Club,Hamilton,Presbyterians,,6/25/1689,"Letter"
72,"John Anderson of Dowhill, Robert Spruell",Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Glasgow,public,safety,elections,,,6/25/1689,"Letter"
73,Earl of Argyll,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",brother,revolution,cause,,,,6/26/1689,"Letter"
74,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",grievances,church,government,Secretary,war,,6/26/1689,"Letter"
75,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",articles,parliament,church affairs,,,,6/27/1689,"Letter"
75,Marquis of Atholl,Lord Melville,Bath,"51.380001, -2.360000",London,"51.50673486004276, -0.12083646321188168",service,false stories,Protestant religion,,,,6/27/1689,"Letter"
76,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",animosity,parliament,presbytery,Presbyterian,crown,,6/27/1689,"Letter"
77,The Earl of Balcarres,Lord Melville,Fife,"56.249999, -3.1999992",London,"51.50673486004276, -0.12083646321188168",imprisonment,Dundee,liberty,prison,,,6/27/1689,"Letter"
78,Lord Ross,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",crown,Dalrymple,committees,parliament,,,6/27/1689,"Letter"
79,Lord Ross,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",articles,Dalrymple,King James,,,,6/27/1689,"Letter"
80,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Tarbat,offices,state,Lord Stair,positions,,6/27/1689,"Letter"
81,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,government,revolution,settlement,,,6/28/1689,"Letter"
82,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",proposals,Culloden,affairs,,,,6/29/1689,"Letter"
83,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Perth,popery,allegiance,,,,6/29/1689,"Letter"
84,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church government,King,reformers,,,,6/29/1689,"Letter"
85,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,Dalrymple,loyalty,,,,6/29/1689,"Letter"
86,Sir George Mackenzie,Lord Melville,Knaresborough Wells,"54.0091, -1.46851",London,"51.50673486004276, -0.12083646321188168",articles,loyalty,protection,,,,6/29/1689,"Letter"
87,Sir John Baird of Newbyth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",greivances,circumstances,character,,,,6/29/1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",church,government,Presbyterians,,,,"June-July, 1689","Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",clerks,hornings,clerk,,,,June-July 1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",testimony,service,reputation,,,,June-July 1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",King,Hamilton,club,,,,June-July 1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",incapacity,K. James,threat,castles,Scotland,,June- July 1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",presbytery,clergy,dangerous,Park,,,"June-July, 1689","Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",articles,bishops,parliament,chancellor,,,June-July 1689,"Letter"
88,Viscount of Tarbat,Lord Melville,Tarbat House,"57.7354, -4.0677",London,"51.50673486004276, -0.12083646321188168",Scotland,money,coins,customs,trade,,June-July 1689,"Letter"
89,Tarbat's memorial in relation to the Church,,Tarbat House,"57.7354, -4.0677",-,,parliament,ministers,presbyterian,general assembly,,,6/1/1689,"Memorial"
90,Lord Melville,Earl Crawford,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",friendship,service,King,,,,6/1/1689,"Letter"
91,Sir George Mackenzie,Lord Melville,Knaresborough Wells,"54.0091, -1.46851",London,"51.50673486004276, -0.12083646321188168",circumstances,diapleasure,corresondence,,,,6/1/1689,"Letter"
92,Sir George Mackenzie,Mr. James Melville,Knaresborough Wells,"54.0091, -1.46851","Suffolks Street, London",,forfeitures,King,authority,,,,6/1/1689,"Letter"
93,Mr. Gilbert Eliot,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",council,Dundee,allegiance,,,,6/1/1689,"Letter"
94,Memorial to Lord Melville,,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",debts,guards,revenue,,,,6/1/1689,"Memorial"
95,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",articles,church,Dundee,Mackay,Inverlochie,,7/2/1689,"Letter"
96,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",prisoners,Edinburgh castle,Dundee,Irish,Mackay,,7/2/1689,"Letter"
97,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,government,presbytery,patronage,,,7/2/1689,"Letter"
98,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,public,trust,,,,7/2/1689,"Letter"
99,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,council,presbytery,church,government,,7/2/1689,"Letter"
100,Earl of Englintoun,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",regiments,Dundee,Leven,highlands,,,7/4/1689,"Letter"
101,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,church,government,Aberdeen,K. James,,7/4/1689,"Letter"
102,Margaret Countess of Balcarres,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Dundee,Blair,Council,imprisonment,Edinburgh Castle,,7/4/1689,"Letter"
103,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Londonderry,Kirk,Edinburgh Castle,Balcarres,K. James,Dundee,7/4/1689,"Letter"
104,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",parliament,articles,Glasgow,Dundee,Mackay,Inverlochie,7/6/1689,"Letter"
105,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,government,officers,state,presbytery,,7/6/1689,"Letter"
106,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Hamilton,articles,parliament,,,,7/6/1689,"Letter"
107,Lord Blantyre,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",regiment,service,Dalrymple,,,,7/6/1689,"Letter"
108,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,Club,Ireland,Mackay,highlands,prisoners,7/7/1689,"Letter"
109,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",articles,church,parliament,Irishmen,prisoners,,7/9/1689,"Letter"
110,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",dragoons,Mackay,Dundee,Skelmorlie,parliament,,7/9/1689,"Letter"
111,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Ross,Skelmorlie,Stair,Melville,Annandale,,7/9/1689,"Letter"
112,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Argyll,Annandale,parliament,Club,Inverlochie,,7/10/1689,"Letter"
113,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",church government,parliament,forfeitures,,,,7/11/1689,"Letter"
114,Earl of Argyll,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Morton,petition,parliament,,,,7/11/1689,"Letter"
115,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,parliament,articles,army,obstructions,,7/11/1689,"Letter"
116,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,Club,forces,King,Ireland,fleet,7/11/1689,"Letter"
117,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Kirkconnell,excise,customs,,,,7/11/1689,"Letter"
118,Mr. Gilbert Eliot,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",prisoners,council,Tarras,Leven,,,7/11/1689,"Letter"
119,Sir James Steuart,William Denham of Westshield,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",committees,church,claim of right,prisoners,plot,,7/11/1689,"Letter"
120,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,parliament,Club,forces,regiments,,7/12/1689,"Letter"
121,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,government,coronation oath,Portland,Club,,7/12/1689,"Letter"
122,Sir James Steuart,William Denham of Westshield,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,claim of right,forfeitures,Scotland,Kintyre,Irish,7/13/1689,"Letter"
123,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",French fleet,coast,Mackay,Ireland,Dalrymple,,7/13/1689,"Letter"
124,Sir Thomas Stewart of Coltness,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,Holland,Mint,,,,7/14/1689,"Letter"
125,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Lady Drum,parliament,church,government,council,,7/16/1689,"Letter"
126,Lord Murray,Sir William Anstruther,Falkland,56.249999 -3.1999992,Anstruther,56.22315 -2.70229,devastation,property,highlands,Atholl,,,7/17/1689,"Letter"
127,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",church,Dundee,Mackay,Stirling Castle,war,,7/18/1689,"Letter"
128,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,church,rebellion,Mackay,militia,,7/18/1689,"Letter"
129,Lord Melville,Duke of Hamilton,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",Selkirk,Schomberg,Ireland,,,,7/19/1689,"Letter"
130,Captain Johnston and Officers,Lord Melville,Newgate Prison,"51.5094129623, -0.10115126206",London,"51.50673486004276, -0.12083646321188168",sickness,concern,imprisonment,,,,7/19/1689,"Letter"
131,Lord Cardross,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,Mackay,K. James,Ireland,landings,,7/20/1689,"Letter"
132,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",church,Mackay,Club,invasion,Ireland,conspiracy,7/20/1689,"Letter"
133,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,council,religion,Skelmorlie,parliament,Mackay,7/22/1689,"Letter"
134,Countess of Mar,Queen Mary,Stirling,"56.116600, -3.936900",Hampton Court,"51.403332, -0.337500",Scotland,Stirling Castle,,,,,7/22/1689,"Letter"
135,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",parliament,Rooke,Dundee,prisoners,,,7/23/1689,"Letter"
136,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,presbytery,church,Dundee,postmaster,,7/23/1689,"Letter"
137,Sir James Montgomery,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",vote,Signet,parliament,Dalrymple,friendship,,7/23/1689,"Letter"
138,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",articles,K. James,Dundee,Irish landings,Mackay,Bass,7/24/1689,"Letter"
139,Duke of Hamilton,Lord Melville,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",highlands,Inverlochie,church,Rooke,French fleet,Mull,7/25/1689,"Letter"
140,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,parliament,dragoons,mackay,Provinciall,Blair,7/25/1689,"Letter"
141,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",parliament,Mackay,Hamilton,Belhaven,,,7/25/1689,"Letter"
142,John Hay of Park,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Church,Advocate,parliament,,,,7/26/1689,"Letter"
143,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Hamilton,Buchan,Stirling Castle,Perth,France,Ireland,7/27/1689,"Letter"
