People_ID,People_Label,Weight,Full name,Loyalty,Position
61,P. Murray ,1/593,Sir Patrick Murray,Williamite,Commissioner for Excise
62,Kintore ,4/593,"John Keith, Earl of Kintore",Williamite,"Parliamentary Commissioner, Commissoner of Supply"
63,Moncrieff,1/593,Sir Thomas Moncrieff,Williamite,Commissioner for Excise
64,Bruce ,1/593,Sir Alexander Bruce ,Williamite,Privy Councillor
65,Livingston (Linlithgow),1/593,"George Livingston, Lord Livingston later Earl of Linlithgow",Williamite,
66,Walter Corbets ,1/593,Walter Corbetts,Williamite,Governor of Blair Castle
67,Lundy,1/593,Robert Lundy,Williamite,Governor of Londonderry
68,Hall,2/593,Sir John Hall of Dunglass,Williamite,Provost of Edinburgh
69,Schomberg,1/593,"Frederick Herman de Schomberg, first duke of Schomberg",Williamite,Williamite Military General
70,Falconer of Phesdo ,1/593,Sir James Falconer of Phesdo ,Williamite,Senator of the College of Justice
71,Presbyterian Ministers ,4/593,Presbyterian Ministers in Edinburgh,Williamite,Members of the General Assembly of the Church of Scotland
72,Campbell of Auchenbreck,1/593,Sir Duncan Campbell of Auchenbreck,Williamite,Member of Parliament for Argyllshire
73,King James,2/593,James Stewart,Jacobite,Exiled Monarch
74,Cannon,1/593,"Alexander Cannon, Colonel Cannon",Jacobite,Jacobite General
75,Stevenston,1/593,Sir Robert Sinclair of Stevenston,Williamite,"Member of Parliament for Haddington, Privy Councillor"
76,McNaughten ,1/593,Laird of McNaughten ,Jacobite,Jacobite General
77,Shrewsberry,2/593,"Charles Talbot, Duke of Shrewsbury",Williamite,"Secretary of State, England"
78,Fountainhall,1/593,Sir John Lauder of Fountainhall,Williamite,Judge
79,Lord Neil Campbell ,1/593,Lord Neil Campbell ,Williamite,Governor of Dumbarton Castle
80,Carmichael,9/593,"John Carmichael, Lord Carmichael",Williamite,"Member of Committee of Estates, Privy Councillor, Lord of the Privy Seal"
81,Forbes,4/593,Duncan Forbes of Culloden,Williamite,Member of Parliament for Inverness-shire
82,Hill ,19/593,Colonel John Hill,Williamite,Governor of Fort William
83,Burrough of Belfast ,1/593,,Williamite,
84,Ranelagh ,1/593,"Richard Jones, Earl of Ranelagh",Williamite,English Privy Councillor
85,Breadalbane ,4/593,"John Campbell, Earl of Breadalbane",Jacobite,
86,Thomas Livingston,9/593,"Thomas Livingston, Viscount Teviot",Williamite,Military General
87,Nottingham ,9/593,"Daniel Finch, Earl of Nottingham",Williamite,"Secretary of State, England"
88,George Stirling ,1/593,Mr. George Stirling ,Williamite,Parliamentary commissioner
89,Carstares ,3/593,Mr. William Carstares ,Williamite,Church of Scotland minister and political adviser
90,D'Allone ,3/593,Monsieur D'Allone ,Williamite,
91,Pottinger,2/593,Captain Edward Pottinger,Williamite,Royal Navy Admiral
92,Billingsley ,4/593,Colonel Rupert Billingsley,Williamite,Deputy Governor of Berwick
93,Annandale ,4/593,"William Johnston, Earl of Annandale",Williamite,Parliamentary Commissioner
94,Alexander Johnston ,1/593,Mr. Alexander Johnston ,Williamite,
95,Pittarro ,1/593,David Carnegie of Pitcarrow,Williamite,
96,Payne,1/593,Henry Neville Payne,Jacobite ,Jacobite spy
97,Drumlanrig ,2/593,"James Douglas, Earl of Drumlanrig, Second Duke of Queensberry",Williamite,Privy Councillor
98,Countess of Seaforth ,1/593,"Frances Herbert, Countess of Seaforth",Jacobite,
99,Mr. Hugh Kennedy ,1/593,Mr. Hugh Kennedy ,Williamite,Church minister
100,Mr. James Kirkton ,1/593,Mr. James Kirkton ,Williamite,Church minister
101,Dr Rule ,1/593,Dr. Gilbert Rule,Williamite,Church minister
102,Fraser of Brae ,1/593,Mr. Fraser of Brae ,Williamite,Church minister
103,Gabriel Cuningham ,1/593,Mr. Gabriel Cuningham ,Williamite,Church minister
104,General Assembly ,1/593,The General Assembly of the Church of Scotland,Williamite,
105,Duchess of Queensberry ,1/593,"Lady Mary Boyle, Duchess of Queensberry",Williamite,
106,Arran ,1/593,"James Hamilton, Earl of Arran",Jacobite,Duke of Hamilton's son
107,Raith ,3/593,"Alexander Melville, Master of Melville and Lord Raith",Williamite,Melville's third son
108,Convention of Estates,,Body of Government,Williamite,
109,William Dunlop,,Mr. William Dunlop,Williamite,
110,Mr. David Williamson,,Mr. David Williamson,Williamite,
111,Mr. Robert Spruell,,Mr. Robert Spruell,Williamite,
112,Duchess of Hamilton,,,Williamite,
113,Heritors in Atholl,,Heritors in Atholl,Williamite,
114,Magistrates of Edinburgh,,Magistrates of Edinburgh,Williamite,
115,Colonel Arrott,,,Williamite,
116,Lords of the Treasury,,Lords of the Treasury,Williamite,
117,The Town Council of Edinburgh,,The Town Council of Edinburgh,Williamite,
118,Commissioners of Supply of Lanarkshire,,Commissioners of Supply of Lanarkshire,Williamite,
119,Judges of the Court of Session,,Judges of the Court of Session,Williamite,
120,Master of Forbes,,,Williamite,
121,[uncertain],,-,-,
122,Convention of Royal Burghs,,Convention of Royal Burghs,Williamite,
123,Lord James Murray,,,Jacobite,
